actual_sound,percieved_sound
bi,bi
bi,bi
di,bi
di,bi
di,bi
bi,bi
ni,bi
bi,bi
fi,bi
ni,bi
bi,bi
bi,bi
ni,bi
di,bi
di,bi
ni,bi
bi,bi
di,bi
bi,bi
di,bi
bi,bi
bi,bi
bi,bi
di,bi
di,bi
bi,bi
di,bi
ni,bi
bi,bi
bi,bi
di,bi
di,bi
bi,bi
bi,bi
bi,bi
bi,bi
ni,bi
di,bi
bi,bi
di,bi
ni,bi
di,bi
bi,bi
bi,bi
fi,bi
di,bi
bi,bi
bi,bi
di,bi
di,bi
bi,bi
ni,bi
bi,bi
mi,bi
bi,bi
ni,bi
bi,bi
bi,bi
di,bi
bi,bi
ni,bi
bi,bi
di,bi
gi,bi
bi,bi
di,bi
bi,bi
di,bi
bi,bi
bi,bi
bi,bi
di,bi
gi,bi
di,bi
di,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
di,bi
di,bi
di,bi
gi,bi
ni,bi
gi,bi
bi,bi
bi,bi
di,bi
di,bi
ni,bi
bi,bi
bi,bi
di,bi
bi,bi
bi,bi
di,bi
bi,bi
di,bi
bi,bi
di,bi
bi,bi
di,bi
di,bi
ni,bi
gi,bi
bi,bi
di,bi
di,bi
bi,bi
ni,bi
bi,bi
gi,bi
gi,bi
di,bi
bi,bi
gi,bi
di,bi
bi,bi
ni,bi
bi,bi
di,bi
di,bi
bi,bi
bi,bi
bi,bi
bi,bi
ni,bi
bi,bi
bi,bi
di,bi
bi,bi
di,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
ni,bi
gi,bi
bi,bi
di,bi
di,bi
ni,bi
di,bi
bi,bi
di,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
ni,bi
bi,bi
di,bi
bi,bi
di,bi
bi,bi
di,bi
di,bi
bi,bi
fi,bi
di,bi
bi,bi
bi,bi
bi,bi
di,bi
di,bi
di,bi
bi,bi
di,bi
di,bi
bi,bi
di,bi
bi,bi
ni,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
bi,bi
